date time client_id server_id client_uqid server_uqid tcp_interval tcp_size tcp_speed udp_interval udp_size udp_speed jitter num_lost num_datagrams_sent num_out_of_order
2010-12-12 22:36:46.798473 0 1 i-1488be79 i-1688be7b 0.0-10.0 425402368 340156612 0.0-10.0 12496470 9952448 0.048 21 8500 8
2010-12-12 22:37:12.711383 1 0 i-1688be7b i-1488be79 0.0-10.0 493125632 394015079 0.0-10.0 12502350 9982625 0.393 11 8505 11
2010-12-12 22:37:38.352953 0 1 i-1488be79 i-1688be7b 0.0-10.0 473686016 378590892 0.0-10.0 12502350 9999994 0.045 2 8504 3
2010-12-12 22:38:03.952568 1 0 i-1688be7b i-1488be79 0.0-10.0 476815360 380989309 0.0-10.0 12500880 9984629 0.193 41 8503 1
2010-12-12 22:38:29.486288 0 1 i-1488be79 i-1688be7b 0.0-10.0 489275392 391226617 0.0-10.0 12468540 9945696 0.076 8 8481 9
2010-12-12 22:39:00.180293 1 0 i-1688be7b i-1488be79 0.0-10.0 558555136 445160777 0.0-10.0 12455310 9952312 0.027 0 8472 1
2010-12-12 22:39:25.557989 0 1 i-1488be79 i-1688be7b 0.0-10.0 428720128 342704406 0.0-10.0 12493530 9982292 0.025 7 8498 1
2010-12-12 22:39:50.875402 1 0 i-1688be7b i-1488be79 0.0-10.0 546586624 436610105 0.0-10.0 12502350 9999996 0.029 0 8504 1
2010-12-12 22:40:16.387041 0 1 i-1488be79 i-1688be7b 0.0-10.0 451780608 361295251 0.0-10.0 12478830 9981225 0.028 1 8488 1
2010-12-12 22:40:41.947109 1 0 i-1688be7b i-1488be79 0.0-10.0 677756928 541623513 0.0-10.0 12502350 9999996 0.044 3 8504 4
2010-12-12 22:41:07.476764 0 1 i-1488be79 i-1688be7b 0.0-10.0 474308608 379268023 0.0-10.0 12502350 9999996 0.030 0 8504 1
2010-12-12 22:41:32.878702 1 0 i-1688be7b i-1488be79 0.0-10.0 735838208 588282064 0.0-10.0 12502350 9976174 0.028 0 8504 1
2010-12-12 22:41:58.317780 0 1 i-1488be79 i-1688be7b 0.0-10.0 510828544 407352585 0.0-10.0 12487650 9981466 0.030 0 8494 1
2010-12-12 22:42:23.848087 1 0 i-1688be7b i-1488be79 0.0-10.0 725712896 579643756 0.0-10.0 12502350 9999983 0.051 0 8504 1
2010-12-12 22:42:49.374687 0 1 i-1488be79 i-1688be7b 0.0-10.0 525557760 420376719 0.0-10.0 12500880 9981672 0.032 0 8503 1
2010-12-12 22:43:14.972267 1 0 i-1688be7b i-1488be79 0.0-10.0 493576192 394524148 0.0-10.0 12502350 9999996 0.027 6 8504 7
2010-12-12 22:43:40.443783 0 1 i-1488be79 i-1688be7b 0.0-10.0 480223232 384103954 0.0-10.0 12502350 9999996 0.081 5 8504 6
2010-12-12 22:44:05.852730 1 0 i-1688be7b i-1488be79 0.0-10.0 533217280 425925437 0.0-10.0 12502350 9999993 0.030 0 8504 1
