date time client_id server_id client_uqid server_uqid n_bytes count duration nfs_version nfs_rsize nfs_wsize nfs_proto
2010-12-12 01:21:03.024768 0 1 i-226a5d4f i-3c6a5d51 1024 10 0.03 v3 32768 32768 tcp
2010-12-12 06:55:40.513531 0 1 i-226a5d4f i-3c6a5d51 1024 10 0.03 v3 32768 512 tcp
2010-12-12 06:55:45.740780 0 1 i-226a5d4f i-3c6a5d51 1024 10 0.03 v3 32768 2048 tcp
2010-12-12 06:55:50.827400 0 1 i-226a5d4f i-3c6a5d51 1024 10 0.03 v3 32768 8192 tcp
2010-12-12 06:55:55.936501 0 1 i-226a5d4f i-3c6a5d51 1024 10 0.03 v3 32768 32768 tcp
2010-12-12 06:56:00.989105 0 1 i-226a5d4f i-3c6a5d51 1024 10 0.03 v3 32768 131072 tcp
2010-12-12 06:56:06.137167 0 1 i-226a5d4f i-3c6a5d51 1024 10 0.03 v3 32768 524288 tcp
2010-12-12 06:57:51.715869 0 1 i-226a5d4f i-3c6a5d51 1024 10 100.53 v4 32768 512 tcp
2010-12-12 06:59:37.308134 0 1 i-226a5d4f i-3c6a5d51 1024 10 100.53 v4 32768 2048 tcp
2010-12-12 07:01:22.856562 0 1 i-226a5d4f i-3c6a5d51 1024 10 100.53 v4 32768 8192 tcp
2010-12-12 07:04:44.454022 0 1 i-226a5d4f i-3c6a5d51 1024 10 0.03 v3 32768 512 tcp
2010-12-12 07:04:49.048922 0 1 i-226a5d4f i-3c6a5d51 1024 10 0.03 v3 32768 2048 tcp
2010-12-12 07:04:53.671916 0 1 i-226a5d4f i-3c6a5d51 1024 10 0.03 v3 32768 8192 tcp
2010-12-12 07:04:58.224776 0 1 i-226a5d4f i-3c6a5d51 1024 10 0.03 v3 32768 32768 tcp
2010-12-12 07:05:02.833823 0 1 i-226a5d4f i-3c6a5d51 1024 10 0.03 v3 32768 131072 tcp
2010-12-12 07:05:07.466874 0 1 i-226a5d4f i-3c6a5d51 1024 10 0.04 v3 32768 524288 tcp
2010-12-12 07:06:52.518276 0 1 i-226a5d4f i-3c6a5d51 1024 10 100.54 v4 32768 512 tcp
2010-12-12 17:44:51.178350 0 1 i-e0c5f38d i-e2c5f38f 1024 10 0.03 v3 32768 512 tcp
2010-12-12 17:44:56.910210 0 1 i-e0c5f38d i-e2c5f38f 1024 10 0.03 v3 32768 2048 tcp
2010-12-12 17:45:06.466584 0 1 i-e0c5f38d i-e2c5f38f 1024 10 0.04 v3 32768 8192 tcp
2010-12-12 17:45:12.181188 0 1 i-e0c5f38d i-e2c5f38f 1024 10 0.03 v3 32768 32768 tcp
2010-12-12 17:45:17.979545 0 1 i-e0c5f38d i-e2c5f38f 1024 10 0.03 v3 32768 131072 tcp
2010-12-12 17:45:23.562628 0 1 i-e0c5f38d i-e2c5f38f 1024 10 0.03 v3 32768 524288 tcp
2010-12-12 17:47:09.714241 0 1 i-e0c5f38d i-e2c5f38f 1024 10 100.56 v4 32768 512 tcp
2010-12-12 18:13:45.488276 0 1 i-e0c5f38d i-e2c5f38f 1024 10 0.03 v3 32768 512 tcp
2010-12-12 18:13:52.707392 0 1 i-e0c5f38d i-e2c5f38f 1024 10 0.03 v3 32768 2048 tcp
2010-12-12 18:13:59.672521 0 1 i-e0c5f38d i-e2c5f38f 1024 10 0.03 v3 32768 8192 tcp
2010-12-12 18:14:06.783770 0 1 i-e0c5f38d i-e2c5f38f 1024 10 0.03 v3 32768 32768 tcp
2010-12-12 18:14:13.977469 0 1 i-e0c5f38d i-e2c5f38f 1024 10 0.03 v3 32768 131072 tcp
2010-12-12 18:14:20.802778 0 1 i-e0c5f38d i-e2c5f38f 1024 10 0.03 v3 32768 524288 tcp
2010-12-12 18:15:15.087793 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.07 v3 32768 512 tcp
2010-12-12 18:15:23.342727 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.05 v3 32768 2048 tcp
2010-12-12 18:15:31.641259 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.05 v3 32768 8192 tcp
2010-12-12 18:15:39.723911 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.05 v3 32768 32768 tcp
2010-12-12 18:15:47.865761 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.05 v3 32768 131072 tcp
2010-12-12 18:15:56.016565 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.04 v3 32768 524288 tcp
2010-12-12 18:16:44.583143 1 0 i-e2c5f38f i-e0c5f38d 1024 10 40.57 v4 32768 512 tcp
2010-12-12 18:16:52.408773 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.11 v4 32768 2048 tcp
2010-12-12 18:17:00.445719 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.11 v4 32768 8192 tcp
2010-12-12 18:17:07.988561 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.1 v4 32768 32768 tcp
2010-12-12 18:17:15.369603 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.1 v4 32768 131072 tcp
2010-12-12 18:17:22.330000 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.1 v4 32768 524288 tcp
2010-12-12 18:17:29.030336 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.05 v3 32768 512 udp
2010-12-12 18:17:35.807482 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.05 v3 32768 2048 udp
2010-12-12 18:17:42.477445 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.07 v4 32768 512 udp
2010-12-12 18:17:49.181065 1 0 i-e2c5f38f i-e0c5f38d 1024 10 0.24 v4 32768 2048 udp
2010-12-12 18:17:56.163655 1 0 i-e2c5f38f i-e0c5f38d 1024 50 0.23 v3 32768 512 tcp
